Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/items [ATTACK],8606,0,8,7.96978130396264,1.6759000136516988,76.09280000906438,673.7099697885196,655.2878305836713,0.0,8,9,9,9,10,11,12,15,34,76,76
GET,/items [normal GET],159,0,13,17.54967232400247,6.553800019901246,74.52409999677911,674.1949685534591,12.106758664048773,0.0,13,14,15,16,29,54,64,72,75,75,75
POST,/items [normal POST],54,0,60,61.16702221980732,43.768699979409575,86.18799998657778,25.85185185185185,4.11172935760147,0.0,60,63,64,65,69,71,80,86,86,86,86
,Aggregated,8819,0,8,8.468233926895167,1.6759000136516988,86.18799998657778,669.7517859167706,671.5063186053216,0.0,8,9,9,9,10,12,15,29,69,86,86
