Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/items [ATTACK],8525,8177,8,8.554357489874134,2.9110999894328415,53.63859998760745,102.91237536656891,646.802726429034,620.3995183589691,8,9,9,9,10,12,15,17,34,54,54
GET,/items [normal GET],170,0,13,16.109818823443835,5.786800000350922,41.689999983645976,2196.1882352941175,12.898118884801852,0.0,13,14,17,19,32,37,38,41,42,42,42
POST,/items [normal POST],54,0,59,58.04058889259101,32.218199979979545,71.96540001314133,26.22222222222222,4.09704952811353,0.0,59,60,61,63,66,68,69,72,72,72,72
,Aggregated,8749,8177,8,9.006601737497126,2.9110999894328415,71.96540001314133,143.11304149045606,663.7978948419494,620.3995183589691,8,9,9,10,11,13,17,27,64,72,72
